image_id,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,relative_results,url,category_list,street,city,state
1_0x888e816e3e3711b1_0x9ab5637d5532ec8d,Island Delight at Dexter,"Island Delight at Dexter, 36 Dexter Ave #104, Montgomery, AL 36104",0x888e816e3e3711b1:0x9ab5637d5532ec8d,Traditional Jamaican meals in a lively setting with vibrant Jamaican flag–colored walls & decor.,32.3769953,-86.3082115,['Restaurant'],4.4,608,$$,"[['Wednesday', '11AM–4PM'], ['Thursday', '11AM–4PM'], ['Friday', '11AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–4PM'], ['Tuesday', '11AM–4PM']]","{'Service options': ['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Dining options': ['Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Groups', 'Tourists']}","['0x888e816e8beb22f1:0xda571be2ab629b74', '0x888e816ef16a6ae1:0xe264c0bd25031601', '0x888e816f41b3662d:0x16f2ecbdc5fda731', '0x888e8171dce090c9:0xb87ae3cfedaac3d0']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888e816e3e3711b1:0x9ab5637d5532ec8d?authuser=-1&hl=en&gl=us,['restaurant'],"Island Delight at Dexter, 36 Dexter Ave #104",Montgomery,AL
3_0x88890dc1f5bbf3e7_0x11a0cb250cec602,Burger King,"Burger King, 1402 Gadsden Hwy, Birmingham, AL 35235",0x88890dc1f5bbf3e7:0x11a0cb250cec602,"Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",33.5966227,-86.6460146,"['Restaurant', 'Fast food restaurant']",2.9,347,$,,"{'Service options': ['Delivery', 'Drive-through', 'Dine-in', 'Takeout'], 'Accessibility': ['Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Coffee', ""Kids' menu"", 'Late-night food', 'Vegetarian options'], 'Dining options': ['Breakfast', 'Lunch', 'Dinner', 'Dessert', 'Seating'], 'Amenities': ['Good for kids', 'High chairs', 'Restroom'], 'Crowd': ['Family-friendly'], 'Payments': ['Debit cards', 'NFC mobile payments']}","['0x88890db89529d03d:0x4d9e34d50fb5143d', '0x88890dc26b1f41b9:0x973c9cbbd361f419', '0x88890c8a5fff95cf:0xcab63a68398c45f8', '0x88890dc10f27748d:0x4efd1e9a9fabcae0', '0x88890cfd2771f85f:0x104e29717dc1df7f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88890dc1f5bbf3e7:0x11a0cb250cec602?authuser=-1&hl=en&gl=us,"['restaurant', 'fast food restaurant']","Burger King, 1402 Gadsden Hwy",Birmingham,AL
4_0x889a407b82c27b8b_0xb064cccf6dfff203,Fairhope's Grill and Bar,"Fairhope's Grill and Bar, 210 Eastern Shore Shopping Center, Fairhope, AL 36532",0x889a407b82c27b8b:0xb064cccf6dfff203,"Burgers, wings & other pub staples are served at a casual, family-friendly sports grill with patio.",30.5227799,-87.884951,"['Restaurant', 'American restaurant', 'Bar & grill']",4.0,128,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]","{'From the business': ['Identifies as veteran-led'], 'Service options': ['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery'], 'Highlights': ['Great beer selection', 'Great cocktails', 'Sports'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Happy hour drinks', 'Hard liquor', ""Kids' menu"", 'Late-night food', 'Quick bite', 'Small plates', 'Wine'], 'Dining options': ['Dessert'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs', 'Restroom'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups'], 'Planning': ['Accepts reservations'], 'Payments': ['Credit cards']}","['0x889a408e3587c879:0xcab30dbbf6983545', '0x889a408f8be4064b:0x12c8ab925be7af1c', '0x889a40982e709e2f:0x5df162292ad21810', '0x889a6aabd15b021d:0x5ab89eeeb75a739a', '0x889a408fad394037:0x68dac26dcbc90a79']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a407b82c27b8b:0xb064cccf6dfff203?authuser=-1&hl=en&gl=us,"['restaurant', 'american restaurant', 'bar & grill']","Fairhope's Grill and Bar, 210 Eastern Shore Shopping Center",Fairhope,AL
5_0x88626b84dc4d8f25_0xc2f67fe6742720be,La Noche Buena,"La Noche Buena, 1109 Jordan Ln NW UNIT D, Huntsville, AL 35816",0x88626b84dc4d8f25:0xc2f67fe6742720be,,34.7374526,-86.6278736,['Grocery store'],3.6,8,,,,"['0x88626b9b0cbede65:0x58a9158d88384f3f', '0x88626c9ae7d7e949:0xbe34c3c5515230fd', '0x88626c92028f69c1:0xcfe9a99ca43a0228', '0x88626c9be1a67953:0x1ede6c0e00c42397', '0x88626d9de6169bef:0xe630c3d27cf575c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88626b84dc4d8f25:0xc2f67fe6742720be?authuser=-1&hl=en&gl=us,['grocery store'],"La Noche Buena, 1109 Jordan Ln NW UNIT D",Huntsville,AL
7_0x888c0b77f7f483bf_0x910cd7ffe4bb9dca,Save A Lot,"Save A Lot, 1616 Mill Square, Alexander City, AL 35010",0x888c0b77f7f483bf:0x910cd7ffe4bb9dca,Discount supermarket chain carrying brand-name & private-label grocery items.,32.9357407,-85.9718544,"['Grocery store', 'Supermarket']",4.1,175,,"[['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM'], ['Friday', '8AM–10PM'], ['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Payments': ['Debit cards']}","['0x888c0b6ace23783f:0xb0d2f07bfd60800a', '0x888c0b6c7cc4b047:0xc3e908f82ffcb7b5', '0x888c734e523ea03f:0x4e2ca61f152c8b5f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c0b77f7f483bf:0x910cd7ffe4bb9dca?authuser=-1&hl=en&gl=us,"['grocery store', 'supermarket']","Save A Lot, 1616 Mill Square",Alexander City,AL
9_0x888c0b59e51a53c5_0x10f162a71ae85183,Whats Amaco,"Whats Amaco, 1913 Dadeville Rd, Alexander City, AL 35010",0x888c0b59e51a53c5:0x10f162a71ae85183,,32.9158523,-85.9320694,['Grocery store'],4.3,37,,"[['Monday', '5AM–10PM'], ['Tuesday', '5AM–10PM'], ['Wednesday', '5AM–10PM'], ['Thursday', '5AM–10PM'], ['Friday', '5AM–10PM'], ['Saturday', '5AM–10PM'], ['Sunday', '5AM–10PM']]","{'Service options': ['In-store shopping', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit']}","['0x888c734e523ea03f:0x4e2ca61f152c8b5f', '0x888c0b3b3a418df7:0xd7ed026fea68b5bf', '0x888c0b6c7cc4b047:0xc3e908f82ffcb7b5', '0x888c0b6ace6eae51:0xb91e8862e90a4a65', '0x888c73a26c48223d:0x8a98cdbc6a807613']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c0b59e51a53c5:0x10f162a71ae85183?authuser=-1&hl=en&gl=us,['grocery store'],"Whats Amaco, 1913 Dadeville Rd",Alexander City,AL
11_0x889a43a33cf5ffe3_0x524169276c98e88f,Circle K,"Circle K, 28685 N Main St, Daphne, AL 36526",0x889a43a33cf5ffe3:0x524169276c98e88f,Convenience store chain offering a wide variety of hot & cold drinks & snacks. Many offer fuel.,30.643000899999997,-87.9108868,"['Convenience store', 'ATM', 'Gas station']",4.1,34,$,"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","{'Service options': ['In-store shopping', 'Delivery'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits', 'Safety dividers at checkout'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Planning': ['Quick visit'], 'Payments': ['NFC mobile payments']}","['0x889a430aed5f8ca7:0x3783143a8d77b45f', '0x889a68288187e11f:0xbd0713cd4a29cd0d', '0x889a43c76ba26baf:0xef1120426101c81e', '0x889a43d5c589a0c3:0x496dea3f54aab99f', '0x889a430f51afca11:0x9b2b955ac57bfb4f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a43a33cf5ffe3:0x524169276c98e88f?authuser=-1&hl=en&gl=us,"['convenience store', 'atm', 'gas station']","Circle K, 28685 N Main St",Daphne,AL
12_0x889a52003a8ab96f_0x55311a13b6669f10,Jimmy's Convenience Store,"Jimmy's Convenience Store, 2309 Costarides St, Mobile, AL 36617",0x889a52003a8ab96f:0x55311a13b6669f10,,30.6998056,-88.0923591,['Convenience store'],4.8,8,,"[['Thursday', '6AM–11PM'], ['Friday', '6AM–11PM'], ['Saturday', '6AM–11PM'], ['Sunday', '12–11PM'], ['Monday', '6AM–11PM'], ['Tuesday', '6AM–11PM'], ['Wednesday', '6AM–11PM']]","{'Service options': ['In-store shopping', 'Delivery'], 'Health & safety': ['Mask required', 'Safety dividers at checkout'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit']}",['0x889a52a21c9c63b3:0xbeffbb6b99ae8a2a'],https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a52003a8ab96f:0x55311a13b6669f10?authuser=-1&hl=en&gl=us,['convenience store'],"Jimmy's Convenience Store, 2309 Costarides St",Mobile,AL
15_0x88626b5a44c182f1_0x60e0e2ea8345b718,SIDETRACKS MUSIC HALL,"SIDETRACKS MUSIC HALL, 415 Church St NW Ste 13, Huntsville, AL 35801",0x88626b5a44c182f1:0x60e0e2ea8345b718,Upbeat destination offering American grill fare & a diverse lineup of live bands & musicians.,34.7343845,-86.592725,"['Bar', 'Live music venue', 'Restaurant']",4.6,558,$,"[['Thursday', '4PM–12AM'], ['Friday', '4PM–1AM'], ['Saturday', '4PM–1AM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '4PM–12AM'], ['Wednesday', '4PM–12AM']]","{'Service options': ['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery'], 'Health & safety': ['Mask required'], 'Highlights': ['Bar games', 'Fast service', 'Great beer selection', 'Great cocktails', 'LGBTQ friendly', 'Live music', 'Live performances', 'Sports'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Dancing', 'Food', 'Food at bar', 'Happy hour drinks', 'Happy hour food', 'Hard liquor', 'Wine'], 'Dining options': ['Seating'], 'Amenities': ['Restroom', 'Wi-Fi'], 'Atmosphere': ['Casual'], 'Crowd': ['Groups', 'Tourists'], 'Payments': ['Debit cards', 'Credit cards']}","['0x88626b543184740f:0xfc7dd05505a06bbf', '0x88626b51d7848751:0xa2c0fb62533b5867', '0x88626b56aa9b7931:0xe1d1925129d84ab5', '0x88626b356008af7b:0x5848f54497292b3b', '0x88626b5401bf7001:0xbe71fd05cd288c43']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88626b5a44c182f1:0x60e0e2ea8345b718?authuser=-1&hl=en&gl,"['bar', 'live music venue', 'restaurant']","SIDETRACKS MUSIC HALL, 415 Church St NW Ste 13",Huntsville,AL
16_0x88891bbd7fe2ed65_0x339078285ea46660,Pale Eddies Pour House,"Pale Eddies Pour House, 2308 2nd Ave N #3808, Birmingham, AL 35203",0x88891bbd7fe2ed65:0x339078285ea46660,"Laid-back pub offering a rotating craft-beer list & live music events in a simple, warm setting.",33.5176283,-86.8018758,"['Bar', 'Live music venue', 'Pub']",4.3,78,,"[['Monday', '4PM–2AM'], ['Tuesday', '4PM–2AM'], ['Wednesday', '4PM–2AM'], ['Thursday', '4PM–2AM'], ['Friday', '2PM–3AM'], ['Saturday', '3PM–2AM'], ['Sunday', '4–10PM']]","{'Service options': ['Dine-in'], 'Highlights': ['Live music'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Happy hour drinks', 'Hard liquor', 'Wine'], 'Amenities': ['Restroom']}","['0x88891bc8b63fa493:0x937d2c01263cc127', '0x88891b96769e8d8d:0xc6e1903641d6efbc', '0x88891b96683b09b3:0x14790aefe468cb17', '0x88891bc303199c97:0x1af5387554b87381', '0x88891bb7b40a8717:0xff8c00714d777691']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88891bbd7fe2ed65:0x339078285ea46660?authuser=-1&hl=en&gl=us,"['bar', 'live music venue', 'pub']","Pale Eddies Pour House, 2308 2nd Ave N #3808",Birmingham,AL
