image_id,address,latitude,longitude,street,city,state,country
GJVABEQTQLOHTEREJQUCYUMLLHNNVU,"Mackinac Bridge, Mackinaw City, MI 49701",45.8388,-84.7209,Mackinac Bridge,Mackinaw City,MI,USA
AXXUCGIRDSCQMUSXXISFATNMXPQWUO,"Mackinac Bridge, Mackinaw City, MI 49701",45.8388,-84.7209,Mackinac Bridge,Mackinaw City,MI,USA
EGXAMEZSNMBRBBNCVVSDRNZQULLVCD,"Mackinac Bridge, Mackinaw City, MI 49701",45.8388,-84.7209,Mackinac Bridge,Mackinaw City,MI,USA
EKVUBKNKRQHLAZECJFMIYXBTGKOYKZ,"Mackinac Bridge, Mackinaw City, MI 49701",45.8388,-84.7209,Mackinac Bridge,Mackinaw City,MI,USA
HSROSREDZEAOWREJLZEWQJELMDPFKP,"1301 Beal Ave, Ann Arbor, MI 48109",42.2931,-83.7134,1301 Beal Ave,Ann Arbor,MI,USA
GHQGVZSIPCXWVGPALIEEKCPMSSQABI,"1301 Beal Ave, Ann Arbor, MI 48109",42.2931,-83.7134,1301 Beal Ave,Ann Arbor,MI,USA
NRKVSZNICPULCGDHLNLWNYQYGRHRSB,"Northwood II Svc Building 457, Bishop St, Ann Arbor, MI 48105",42.2982,-83.7116,"Northwood II Svc Building 457, Bishop St",Ann Arbor,MI,USA
GFRVIURAPKXAMLLUIUMAESMDIPETGX,"Northwood II Svc Building 457, Bishop St, Ann Arbor, MI 48105",42.2982,-83.7116,"Northwood II Svc Building 457, Bishop St",Ann Arbor,MI,USA
GTEHCOROLQQRQYFSGDPLLRUJRKVVGP,"Northwood II Svc Building 457, Bishop St, Ann Arbor, MI 48105",42.2982,-83.7116,"Northwood II Svc Building 457, Bishop St",Ann Arbor,MI,USA
POWGIDYQMQOQOSNZFCCBKLJTQUYZED,"Northwood II Svc Building 457, Bishop St, Ann Arbor, MI 48105",42.2982,-83.7116,"Northwood II Svc Building 457, Bishop St",Ann Arbor,MI,USA
SCNNWMKRTNJDPGBTGLRJTKRSLAILHF,"Northwood II Svc Building 457, Bishop St, Ann Arbor, MI 48105",42.2982,-83.7116,"Northwood II Svc Building 457, Bishop St",Ann Arbor,MI,USA
VLXKTKVTJFUYIRLVTEWZNWPEFKTVUI,"1789 Beal Ave, Ann Arbor, MI 48105",42.2991,-83.7129,1789 Beal Ave,Ann Arbor,MI,USA
NCCDRMEMDBWOYSPVWZAWPZNMUFMXOV,"1789 Beal Ave, Ann Arbor, MI 48105",42.2991,-83.7129,1789 Beal Ave,Ann Arbor,MI,USA
TPGRCQRSXZTPYPADWMVFOQAPJBMFDF,"1789 Beal Ave, Ann Arbor, MI 48105",42.2991,-83.7129,1789 Beal Ave,Ann Arbor,MI,USA
DEBQHOSMNLDMWWHFOQKFYCCDEQOBYS,"1789 Beal Ave, Ann Arbor, MI 48105",42.2991,-83.7129,1789 Beal Ave,Ann Arbor,MI,USA
TBWYZWUNEKDAYHHIMQAVOWJLBERIXD,"1789 Beal Ave, Ann Arbor, MI 48105",42.2991,-83.7129,1789 Beal Ave,Ann Arbor,MI,USA
ZOSZHKMTVCEJBNIEFXRMXCTTOEPHDF,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
